lat,lon,utm_x,utm_y,prof
-42.271135,-64.227109,398805.5555850000,5319390.2912640003,21.5
-42.219401,-64.454424,379961.44150399999,5324839.562313000,64.0
-42.353712,-64.197973,401337.3866720000,5310255.377200000,52.0
-42.151962,-64.132,406473.2196750000,5332731.306167000,30.5
-42.124347,-64.081963,410568.5171660000,5335851.107548000,35.0
-42.290047,-64.106955,408741.56715600000,5317426.147856000,41.0
-42.251762,-64.159694,404335.77395100001,5321619.296014000,3.0
-42.14123,-64.567935,370433.2373030000,5333353.315541000,146.0
-42.409898,-64.526452,374396.0549010000,5303583.078242000,13.5
-42.055704,-64.623189,365686.77497299999,5342764.387335000,145.0
-42.362472,-64.115271,408161.3970730000,5309375.331902000,53.0
-42.146754,-64.25064,396662.46256100002,5333172.774456000,89.0
-42.210867,-64.474836,378260.34049199999,5325758.204102000,87.0
-42.388907,-64.460346,379795.62393800000,5306009.56207900,42.0
-42.127158,-64.331923,389912.1735950000,5335247.018298000,171.0
-42.411734,-64.601418,368231.1849980000,5303265.618316000,0.6
-42.121525,-64.236467,397793.0016230000,5335991.11231200,83.0
-42.413615,-64.52442,374570.6696220000,5303173.343876000,11.5
-42.405035,-64.504519,376191.28319400002,5304155.2701450000,18.5
-42.164825,-64.564183,370791.30508700002,5330739.108560000,134.0
-42.421255,-64.557248,371885.0768400000,5302275.986061000,4.6
-42.33496,-64.082784,410797.72158200003,5312464.776895000,33.0
-42.381265,-64.538085,373381.2526540000,5306745.224252000,32.0
-42.09576,-64.112328,408017.2890720000,5338992.970986000,22.5
-42.306179,-64.434596,381760.2370930000,5315231.694306000,41.0
-42.256636,-64.270738,395183.58413199999,5320947.449519000,11.5
-42.391554,-64.398141,384920.79075699998,5305801.766629000,31.0
-42.405541,-64.592322,368966.75287800003,5303967.36645300,3.8
-42.320257,-64.291476,393580.14903199999,5313857.429011000,65.0
-42.344047,-64.558639,371613.3891580000,5310847.071286000,5.3
-42.368857,-64.200099,401186.0286300000,5308571.235305000,29.5
-42.074275,-64.190094,401553.21003100002,5341291.883083000,53.0
-42.32065,-64.521189,374651.7900350000,5313500.911723000,37.0
-42.002431,-64.613113,366409.0258010000,5348695.282235000,171.0
-42.162372,-64.222647,399000.33556699997,5331472.14443300,26.5
-42.398893,-64.319502,391406.232155000,5305090.363134000,7.4
-42.25559,-64.355082,388224.52636900003,5320956.371638000,5.8
-42.360946,-64.182825,402596.1358950000,5309469.59320900,43.0
-42.351649,-64.061797,412549.8327340000,5310633.469350000,16.5
-42.139424,-64.054847,412830.53997799999,5334205.09477000,29.5
-42.127814,-64.242592,397296.8573200000,5335285.472258000,96.0
-41.832237,-64.398248,383895.46970900003,5367905.059301000,169.0
-42.235893,-64.455378,379913.97147100000,5323006.9995299997,0.5
-42.121574,-64.146158,405258.1688370000,5336089.791438000,54.0
-42.307912,-64.532948,373657.32760600001,5314897.931341000,17.5
-42.369372,-64.060882,412649.7477890000,5308666.489719000,11.5
-42.114365,-64.138717,405862.58245599997,5336898.458008000,50.0
-42.232843,-64.404227,384129.0428840000,5323416.474279000,9.3
-42.321547,-64.071919,411674.0509000000,5313965.453451000,22.5
-42.280735,-64.435055,381674.7774170000,5318056.304922000,50.0
-42.368119,-64.15816,404638.13809899997,5308701.079915000,56.0
-42.365229,-64.122015,407610.0861220000,5309061.8934289999,50.0
-42.332788,-64.464614,379336.9557450000,5312234.927997000,52.0
-42.071656,-64.28826,393428.21720000001,5341464.971803000,150.0
-42.408947,-64.495309,376956.8484820000,5303734.263968000,7.3
-42.222894,-64.357923,387932.327918000,5324583.091416000,13.5
-42.304259,-64.097409,409548.9011100000,5315858.2840609998,35.0
-42.358234,-64.259548,396273.55820400000,5309679.979889000,55.0
-42.298674,-64.125786,407201.76987000002,5316447.878322000,50.0
-42.053952,-64.567868,370260.9494430000,5343044.332671000,154.0
-42.365587,-64.244558,397519.98666400003,5308881.693548000,48.0
-42.187491,-64.519296,374544.08389100002,5328289.354374000,124.0
-42.171574,-64.615401,366574.53955799999,5329910.898108000,122.0
-42.332234,-64.072019,411680.7629050000,5312778.696668000,5.6
-42.293668,-64.411116,383672.4712900000,5316653.244756000,66.0
-42.35076,-64.463828,379436.06041099998,5310240.451269000,48.0
-42.423757,-64.449649,380742.17809599999,5302154.894723000,5.1
-42.399245,-64.413704,383654.006279000,5304926.564336000,13.5
-42.071459,-64.095552,409369.99692200002,5341709.094612000,56.0
-42.299483,-64.276233,394801.6265160000,5316183.074925000,56.0
-42.312512,-64.057188,412875.43261199998,5314983.857697000,6.2
-42.128818,-64.286841,393641.19185399998,5335119.832258000,152.0
-41.949043,-64.128798,406440.43266100,5355265.330383000,98.0
-42.375828,-64.061034,412646.18021600001,5307949.473020000,7.1
-42.231826,-64.466098,379021.6561260000,5323443.42497900,10.5
-42.008513,-64.478949,377531.8442190000,5348220.654730000,118.0
-42.105821,-64.098077,409210.129813000,5337891.10986300,52.0
-42.26122,-64.191073,401761.9379970000,5320533.405811000,10.0
-42.255301,-64.340773,389404.33652000001,5321007.1369049996,3.1
-42.421433,-64.152267,405203.6501980000,5302787.761554000,1.8
-42.254697,-64.281028,394331.56558100000,5321150.037231000,6.4
-42.092469,-64.174258,402890.964554000,5339289.865327000,26.5
-42.180593,-64.146267,405337.15187399997,5329536.5526999999,10.6
-42.41946,-64.163727,404257.8286490000,5302993.985761000,-0.1
-42.129674,-64.035082,414450.75784400001,5335307.658307000,38.0
-42.119064,-64.476989,377906.1904960000,5335948.544549000,173.0
-42.406985,-64.152354,405174.72670300002,5304391.955441000,8.8
-42.419778,-64.519389,374996.8732010000,5302496.419163000,3.1
-42.004247,-64.498953,375867.0272520000,5348665.505413000,176.0
-42.188764,-64.327243,390405.36966099998,5328412.622803000,124.0
-42.4085,-64.205495,400804.17226800,5304163.042090000,17.5
-42.151002,-64.691299,360260.2267500000,5332073.665388000,116.0
-42.070509,-64.124863,406943.8123030000,5341783.089026000,59.0
-42.020645,-64.535147,372902.272095000,5346791.659249000,147.0
-42.229585,-64.441524,381045.2682540000,5323726.849440000,28.5
-42.360883,-64.442588,381204.5378560000,5309146.300227000,58.0
-42.383336,-64.11451,408254.4384090000,5307059.455540000,36.0
-42.2175,-64.572834,370184.53367899999,5324877.112748000,47.0
-42.37005,-64.178258,402986.236926000,5308463.9239259996,39.0
-42.16314,-64.535504,373157.0131790000,5330969.23169900,143.0
-42.250157,-64.143838,405641.3745830000,5321815.190436000,2.2
-42.29698,-64.390158,385406.21508900000,5316313.9152619997,52.0
-41.9115,-64.072,411096.0317510000,5359494.162157000,91.0
-42.290471,-64.083298,410692.4946190000,5317404.155081000,31.0
-42.285017,-64.193415,401605.7973920000,5317888.366784000,42.0
-42.359869,-64.172553,403440.38157700002,5309600.89817100,52.0
-42.374011,-64.391842,385407.3588820000,5307758.242035000,43.0
-42.337253,-64.121959,407573.71323800000,5312168.344503000,22.5
-42.337267,-64.556316,371790.9644960000,5311603.422565000,7.8
-41.801449,-63.974528,419041.0597830000,5371809.335909000,99.0
-42.344373,-64.131038,406836.2946170000,5311367.852244000,14.5
-42.307134,-64.326191,390696.81585399999,5315270.574084000,75.0
-42.395017,-64.117211,408049.1440690000,5305759.496903000,13.5
-42.360875,-64.341678,389514.4941260000,5309283.26200200,51.0
-42.276658,-64.211978,400062.0901550000,5318794.904009000,31.0
-42.329785,-64.350431,388738.86476400000,5312724.035887000,66.0
-42.391042,-64.384696,386026.52520400001,5305876.741423000,26.5
-42.413859,-64.417052,383405.53638000001,5303299.236812000,4.5
-42.324661,-64.542373,372914.23186000000,5313024.105819000,21.5
-42.33248,-64.522562,374562.1606560000,5312185.297458000,44.0
-42.351365,-64.177585,403012.91431500000,5310539.437978000,57.0
-42.085692,-64.049491,413199.8588580000,5340176.571243000,43.0
-42.029385,-64.643414,363957.0304150000,5345654.737320000,176.0
-42.156461,-64.126272,406953.069025000,5332238.0239890004,27.5
-42.224248,-64.578385,369740.2389740000,5324119.364726000,15.5
-42.386378,-64.160765,404451.33032399998,5306670.705914000,39.0
-42.073226,-64.455134,379626.1805630000,5341069.150721000,175.0
-42.087212,-64.023272,415370.3955260000,5340034.094952000,36.0
-42.008828,-64.322356,390499.72732900002,5348397.87143400,156.0
-42.414051,-64.407757,384170.69279300002,5303290.635882000,15.5
-41.772662,-64.693366,359259.0550900000,5374078.631834000,154.0
-42.401836,-64.174513,403343.37179700000,5304938.720704000,14.5
-42.108909,-64.020585,415621.3972080000,5337627.678197000,51.0
-42.240177,-64.418968,382926.2121180000,5322581.9833519999,9.3
-42.325782,-64.160816,404355.2765990000,5313399.102031000,47.0
