X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.0264319264342,-42.1524062093957,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.6081445937249,-42.4261611744147,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-63.9770143,-42.12742795,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1324563749641,-42.4346884594841,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1419727496335,-42.2416021713917,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2387568916783,-42.4207325473123,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1452034262577,-42.4282734070818,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.179559735167,-42.2454696754046,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1908884899427,-42.2452546250071,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1826051337541,-42.4276795941283,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4961482099872,-42.4311439175148,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1258722292215,-42.1915205952967,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4541531197764,-42.4382897999166,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1475481585295,-42.1975891773648,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.047370742846,-42.3417211076219,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2743539956311,-42.2210581139879,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3758838565027,-42.2368247529307,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.29826745,-42.41215275,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1617377832648,-42.2411770477599,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.27509315,-42.2417746,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0573490935428,-42.2750357385115,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4964934499955,-42.4414682999875,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1200077043142,-42.2432232977203,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.4387567499846,-42.4427629999902,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0741412237569,-42.2596553694943,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5874331550823,-42.3305226007543,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6374490264981,-42.4028824807383,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.174582,-42.24101635,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3206733500023,-42.415523850001,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.6049482493894,-42.2713599991032,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1574256574528,-42.2370641936005,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1964162016157,-42.2373749916857,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3628268,-42.2384104,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.14148995,-42.22532755,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2487408338797,-42.2316037871541,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6854279869877,-42.37056232138,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
