RCID,Latitud,Longitud,Profundidad
433,-42.0716560,-64.2882600,150.0
436,-42.4089470,-64.4953090,7.3
438,-42.2228940,-64.3579230,13.5
439,-42.3042590,-64.0974090,35.0
440,-42.358234,-64.2595480,55.0
442,-42.2986740,-64.1257860,50.0
444,-42.0539520,-64.5678680,154.0
446,-42.3655870,-64.2445580,48.0
447,-42.1874910,-64.5192960,124.0
448,-42.1715740,-64.6154010,122.0
449,-42.3322340,-64.0720190,5.6
450,-42.2936680,-64.4111160,66.0
451,-42.3507600,-64.4638280,48.0
452,-42.4237570,-64.4496490,5.1
454,-42.399245,-64.4137040,13.5
455,-42.0714590,-64.0955520,56.0
457,-42.2994830,-64.276233,56.0
458,-42.3125120,-64.0571880,6.2
459,-42.1288180,-64.286841,152.0
461,-41.9490430,-64.1287980,98.0
463,-42.3758280,-64.0610340,7.1
464,-42.2318260,-64.4660980,10.5
465,-42.0085130,-64.4789490,118.0
466,-42.1058210,-64.0980770,52.0
467,-42.2612200,-64.1910730,10.0
468,-42.255301,-64.3407730,3.1
469,-42.4214330,-64.1522670,1.8
472,-42.2546970,-64.2810280,6.4
476,-42.0924690,-64.1742580,26.5
481,-42.1805930,-64.1462670,10.6
482,-42.4194600,-64.1637270,-0.1
483,-42.1296740,-64.0350820,38.0
485,-42.1190640,-64.4769890,173.0
486,-42.4069850,-64.1523540,8.8
487,-42.419778,-64.5193890,3.1
488,-42.0042470,-64.4989530,176.0
489,-42.1887640,-64.3272430,124.0
490,-42.4085000,-64.2054950,17.5
491,-42.151002,-64.691299,116.0
492,-42.0705090,-64.1248630,59.0
493,-42.0206450,-64.5351470,147.0
494,-42.2295850,-64.441524,28.5
496,-42.3608830,-64.4425880,58.0
501,-42.3833360,-64.11451,36.0
502,-42.2175000,-64.5728340,47.0
504,-42.3700500,-64.1782580,39.0
506,-42.1631400,-64.5355040,143.0
509,-42.2501570,-64.1438380,2.2
510,-42.2969800,-64.3901580,52.0
512,-41.9115,-64.072,91.0
516,-42.2904710,-64.083298,31.0
517,-42.2850170,-64.1934150,42.0
518,-42.3598690,-64.1725530,52.0
519,-42.3740110,-64.3918420,43.0
520,-42.3372530,-64.1219590,22.5
524,-42.3372670,-64.5563160,7.8
525,-41.8014490,-63.9745280,99.0
526,-42.3443730,-64.1310380,14.5
527,-42.307134,-64.3261910,75.0
528,-42.3950170,-64.1172110,13.5
529,-42.3608750,-64.3416780,51.0
531,-42.2766580,-64.2119780,31.0
532,-42.3297850,-64.3504310,66.0
533,-42.3910420,-64.3846960,26.5
534,-42.4138590,-64.4170520,4.5
538,-42.3246610,-64.5423730,21.5
540,-42.3324800,-64.5225620,44.0
541,-42.3513650,-64.1775850,57.0
543,-42.0856920,-64.0494910,43.0
544,-42.0293850,-64.6434140,176.0
547,-42.1564610,-64.126272,27.5
548,-42.224248,-64.5783850,15.5
549,-42.3863780,-64.1607650,39.0
550,-42.0732260,-64.4551340,175.0
552,-42.0872120,-64.0232720,36.0
553,-42.008828,-64.3223560,156.0
554,-42.4140510,-64.4077570,15.5
556,-41.7726620,-64.6933660,154.0
557,-42.4018360,-64.1745130,14.5
558,-42.1089090,-64.0205850,51.0
560,-42.2401770,-64.4189680,9.3
561,-42.3257820,-64.1608160,47.0
563,-42.1501770,-64.0664480,23.5
564,-42.4130800,-64.226897,4.1
565,-42.0525360,-64.4761540,172.0
566,-42.3927310,-64.4396810,35.0
567,-42.0839910,-64.3709760,165.0
571,-42.4111360,-64.2401300,4.5
572,-42.0922990,-64.0911400,19.6
574,-42.3755660,-64.1242630,40.0
576,-42.3358280,-64.152256,56.0
577,-42.1573180,-64.5317860,154.0
579,-41.8449520,-64.1659770,48.0
580,-42.0437410,-64.5984940,162.0
581,-42.26611,-64.089511,2.2
582,-42.2518310,-64.2651630,8.6
583,-42.3146560,-64.5428670,10.5
584,-42.3151000,-64.4635610,61.0
585,-42.355338,-64.3132630,37.0
586,-42.2741540,-64.2928220,34.0
588,-42.1892100,-64.1866030,9.2
589,-42.2890840,-64.3436750,52.0
590,-42.2994060,-64.2039150,52.0
591,-42.3877920,-64.1192500,28.5
594,-42.3315560,-64.1902310,58.0
595,-42.0823250,-64.162371,53.0
596,-42.3373300,-64.5093330,52.0
597,-42.1587450,-64.3038320,148.0
598,-42.2506150,-64.4086130,23.5
600,-42.0900840,-64.0138490,38.0
601,-42.3299780,-64.2586060,57.0
603,-42.3108400,-64.0616740,13.5
605,-42.2076740,-64.3213570,48.0
606,-42.4063270,-64.5495050,11.5
609,-42.3016010,-64.4185870,74.0
610,-42.3000220,-64.3378640,68.0
611,-42.2997530,-64.2510720,51.0
612,-42.3031420,-64.2931450,63.0
613,-42.2996090,-64.5074940,29.5
614,-42.208784,-64.4970920,80.0
615,-41.9036980,-64.1567400,109.0
616,-42.3372910,-64.1807370,59.0
617,-42.3723860,-64.5760420,12.5
618,-42.4084100,-64.5350230,3.3
620,-42.0274720,-64.3376670,162.0
621,-42.4006870,-64.2886350,5.7
624,-42.3358280,-64.2162740,61.0
625,-42.317434,-64.0978400,10.5
626,-42.2723230,-64.2434510,35.0
627,-42.4161980,-64.4703130,12.5
628,-42.1330570,-64.6457090,133.0
629,-42.2520700,-64.431226,24.5
630,-42.1632480,-64.2816540,119.0
632,-42.3351360,-64.5285280,36.0
634,-42.3188540,-64.5313490,26.5
636,-42.3113380,-64.3919900,55.0
637,-42.2119680,-64.3838190,94.0
641,-42.0287870,-64.1824550,127.0
643,-42.089165,-64.3105840,164.0
646,-42.2432750,-64.3997180,13.6
647,-42.0567340,-64.3148210,163.0
648,-42.414713,-64.1654890,2.2
653,-42.4076330,-64.5976570,11.5
654,-42.1649020,-64.5469600,138.0
656,-42.1091340,-64.2031530,31.0
657,-42.3916990,-64.2842550,25.5
659,-42.3846380,-64.2446570,32.0
